market_ticker,fair_yes_probability,fair_yes_probability_low,fair_yes_probability_high,confidence,thesis,source_note,updated_at,evidence_count,evidence_quality,source_type,last_evidence_at,contract_family,resolution_source_type,model_name,model_probability_raw,execution_probability_guarded,market_midpoint_probability,settlement_source_primary,settlement_source_fallback,settlement_station,settlement_timezone,local_day_boundary,observation_window_local_start,observation_window_local_end,observation_window_local_source,weather_station_history_status,weather_station_history_cache_hit,weather_station_history_cache_fallback_used,weather_station_history_cache_fresh,weather_station_history_cache_age_seconds,weather_station_history_sample_metric,weather_station_history_sample_years,weather_station_history_sample_years_total,weather_station_history_sample_years_precip,weather_station_history_sample_years_tmax,weather_station_history_sample_years_tmin,weather_station_history_sample_years_mean,weather_station_history_min_sample_years_required,weather_station_history_live_ready,weather_station_history_live_ready_reason,threshold_expression,rule_text_hash_sha256,high_trust_evidence_count,market_family,research_priority_score
KXPAYROLLS-26MAY-T70000,0.475,0.256853,0.693147,0.532,Auto prior supports the event based on 4 recent headlines across 3 sources.,"Friday's jobs report will be delayed because of the partial government shutdown - CNBC; New Epstein files reveal he may have trafficked girls to others despite official denials - theguardian.com; ""The Late Show with Stephen Colbert"" to end in May 2026 - CBS News",2026-04-01T22:28:27.001065+00:00,4,0.7,auto,2026-02-02T08:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,general_event,35.0
KXECONSTATU3-26MAY-T4.3,0.265,0.028167,0.501833,0.483333,Auto prior supports the event based on 3 recent headlines across 3 sources.,"The 'low-hire, low-fire' economy may be starting to shift with more layoffs—but not more hiring - CNBC; Economy added 50,000 jobs in December while unemployment fell slightly - usatoday.com; Governor Hochul and Labor Leaders Announce New York State Pays Off Multi-Billion Dollar Unemployment Insurance Trust Fund Debt - Governor Kathy Hochul (.gov)",2026-04-01T22:28:27.001065+00:00,3,0.833333,auto,2026-02-06T08:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,general_event,35.0
KXPCECORE-26JUN-T0.2,0.5,0.289539,0.710461,0.723084,Auto prior supports the event based on 8 recent headlines across 3 sources.,"Federal Reserve holds interest rates steady, signals one rate cut amid inflation uncertainty - U.S. Bank; U.S. FOMC Meeting (March 2026) - economics.td.com; GDP (Advance Estimate), 4th Quarter and Year 2025 - Bureau of Economic Analysis (BEA) (.gov)",2026-04-01T22:28:27.001065+00:00,8,0.74375,auto,2026-03-18T07:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,general_event,35.0
KXGDP-26JUL30-T1.5,0.585,0.374488,0.795512,0.722616,Auto prior supports the event based on 8 recent headlines across 3 sources.,"Canadian GDP growth stalled in January but expect a partial February rebound - rbc.com; GDP (Advance Estimate), 4th Quarter and Year 2025 - Bureau of Economic Analysis (BEA) (.gov); GDPNow - Atlanta - Federal Reserve Bank",2026-04-01T22:28:27.001065+00:00,8,0.7375,auto,2026-03-27T07:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,general_event,35.0
KXFED-26JUN-T3.50,0.755,0.661319,0.848681,0.875631,Auto prior leans against the event based on 8 recent headlines across 3 sources.,"The Fed is unlikely to cut rates Wednesday, but this meeting is packed with intrigue - CNBC; Federal Reserve Holds Interest Rates Steady at 4.25% as Inflation Edges Toward 2% Target - altitudesmagazine.com; WATCH: Fed Chair Powell holds news briefing after interest rate left unchanged - PBS",2026-04-01T22:28:27.001065+00:00,8,0.7,auto,2026-04-01T12:57:20+00:00,,official_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,general_event,35.0
KXTRUMPOUT27-27-26AUG01,0.237551,0.14437,0.330732,0.880173,Auto prior supports the event based on 8 recent headlines across 2 sources.,"Never-before-used rule would see Donald Trump removed as president - LADbible; White House says Trump has fired CDC Director Susan Monarez, names temporary replacement - CNBC; Trump tells Fed's Lisa Cook she's fired; she says 'he has no authority to do so' - CNBC",2026-03-29T22:19:06.774257+00:00,8,0.775,auto,2026-03-27T19:31:20+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,cabinet_exit,54.454
KXHORMUZTRAFFICW-26MAR31-T10,0.845,0.606255,0.999,0.465957,Auto prior supports the event based on 3 recent headlines across 3 sources.,Iran Says Supreme Leader Killed in U.S.-Israeli Strikes - The New York Times; Day 4 US-Israel attack Iran: Children pay highest price for wars they did not chose: UN - The Siasat Daily; Playbook - Politico,2026-03-29T22:19:06.774257+00:00,3,0.716667,auto,2026-03-01T08:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,general_event,62.564653
KXHORMUZTRAFFICW-26MAR31-T15,0.77,0.531255,0.999,0.465957,Auto prior supports the event based on 3 recent headlines across 3 sources.,Iran Says Supreme Leader Killed in U.S.-Israeli Strikes - The New York Times; Day 4 US-Israel attack Iran: Children pay highest price for wars they did not chose: UN - The Siasat Daily; Playbook - Politico,2026-03-29T22:19:06.774257+00:00,3,0.716667,auto,2026-03-01T08:00:00+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,general_event,59.454428
KXMENTIONEARNDAL-26JUN30-PART,0.765,0.554159,0.975841,0.719628,Auto prior supports the event based on 8 recent headlines across 3 sources.,"Delta Air Lines says it will suspend Special services for Congress members - TribLIVE.com; Delta Air Lines Says It Will Suspend Special Services for Congress Members - The New York Times; Delta flight from Detroit to Puerto Vallarta, Mexico, diverted due to ""civil unrest,"" spokesperson says - CBS News",2026-03-29T22:19:06.774257+00:00,8,0.675,auto,2026-03-25T21:10:05+00:00,,rules_text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,general_event,54.46155
KXHMONTHRANGE-26APR-T1.03,0.217028,0.043028,0.391028,0.68,NOAA global land-ocean anomaly trend and variance imply 21.7% for threshold (below:1.03).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,below:1.03,d46efa5e60b54ed4d74f3729a6d0682a6724c6ceef27e8aa21ad3917f144565e,,,
KXHMONTHRANGE-26APR-B1.200,0.129239,0.001,0.303239,0.68,NOAA global land-ocean anomaly trend and variance imply 12.9% for threshold (between:1.17:1.23).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,between:1.17:1.23,c07e670c6485a03f069551163732795c9ce833edb181e34ce34af9ad2226991b,,,
KXHMONTHRANGE-26APR-B1.270,0.113468,0.001,0.287468,0.68,NOAA global land-ocean anomaly trend and variance imply 11.3% for threshold (between:1.24:1.30).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,between:1.24:1.30,7cab7ee0c0c652896bee84bf42926d8163a58919c16f89b7f5d9ca912458709c,,,
KXHMONTHRANGE-26APR-T1.30,0.24242,0.06842,0.41642,0.68,NOAA global land-ocean anomaly trend and variance imply 24.2% for threshold (above:1.30).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,above:1.30,79af8fcabe3bd640f2166103a084da843c22cdffd9f22d80d2e4318c9c1f139c,,,
KXHMONTHRANGE-26APR-B1.130,0.127197,0.001,0.301197,0.68,NOAA global land-ocean anomaly trend and variance imply 12.7% for threshold (between:1.10:1.16).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,between:1.10:1.16,704091d31c6484bd80abe66880bf0ababc16210026faab9033a71b998a19de1c,,,
KXHMONTHRANGE-26APR-B1.060,0.108174,0.001,0.282174,0.68,NOAA global land-ocean anomaly trend and variance imply 10.8% for threshold (between:1.03:1.09).,noaa_global_land_ocean_anomaly_series:https://storage.googleapis.com/noaa-ncei-ipg/datasets/cag/data/time-series/global/tavg/anomaly_globe-land_ocean.json; series_end=2026-2; projected=1.173; sigma=0.182,2026-03-30T15:51:21.307119+00:00,120,0.82,auto_weather,2026-02-01T00:00:00+00:00,monthly_climate_anomaly,climate_archive,weather_monthly_anomaly_threshold_v1,,,,,,,,contract_defined_day,,,,,,,,,,,,,,,,,,,between:1.03:1.09,6fef6602c09cd113ddc4036c9a600b3d7b96999ec62e1e8761b1a43c38f901dc,,,
